word,cluster
boder,6
bodgie,6
body,6
bodybuilders,1
bodybuilding,9
bodies,6
bogglingly,6
bogus,1
boyer,6
boilermaker,0
boke,6
bolivar,3
bolivares,2
bolivars,3
bolivianos,2
bombers,5
bombings,5
bond,3
bondable,4
bondholder,3
bondholders,3
bonding,8
bonds,3
bondsman,5
bondsmen,5
bondswoman,6
bonspiels,9
bonus,1
bonuses,3
bood,6
book,1
bookable,1
bookfair,1
booking,1
bookings,1
bookkeeper,1
bookkeepers,1
bookkeeping,1
booklet,6
booklets,1
booklists,1
bookmaker,1
bookmaking,1
bookmark,7
bookmobile,0
bookmobiles,0
books,1
bookseller,1
booksellers,1
bookselling,1
bookshops,1
bookstall,1
bookstore,1
bookstores,1
bookwork,9
booster,6
booter,6
bootlegging,5
bootstrapped,7
bootstrapping,7
border,5
borders,8
boreholes,2
boresight,7
borough,0
boroughs,0
boroughwide,1
borrow,3
borrowable,6
borrower,3
borrowers,3
borrowing,3
bors,6
bosses,1
both,6
botheration,6
bothies,6
bottleneck,0
bottlenecks,0
bottler,3
bottlers,3
botulin,6
boughten,6
boundary,0
boundaries,8
bourgeoning,6
bourn,6
bourse,3
bourses,3
boutique,1
bove,6
boxboard,3
boxen,7
boxfuls,6
boxing,9
boxtops,1
bps,3
bracero,5
braceros,5
brach,6
braches,2
bracketing,6
braes,6
brainstorm,8
brainstorming,8
branch,1
branches,1
branching,8
branchless,1
brand,1
branded,6
brander,6
branders,1
branding,1
brands,1
brans,6
brassage,5
breach,4
breacher,6
breaches,4
breadth,8
breadwinner,5
breadwinners,9
breakdown,6
breakdowns,6
breakers,6
breakings,6
breakoff,6
breakpoint,7
breakpoints,7
breakthroughs,8
breastfeeding,9
breech,6
brevet,6
brevets,6
bribe,5
briber,5
bribery,5
bribes,5
brickbatting,2
brickfield,6
brickle,6
brickmaking,0
bridegrooms,2
bridge,0
bridgeheads,0
bridgeless,6
bridger,6
bridges,0
bridging,8
brief,6
briefers,5
briefing,8
briefings,8
briefs,8
brig,5
brigade,5
brigades,5
brigadier,2
brigadiers,2
brigs,6
briquet,6
briquetted,6
briskest,1
broad,8
broadband,0
broadcast,1
broadcasted,6
broadcaster,1
broadcasters,1
broadcasting,1
broadcastings,6
broadcasts,1
broaden,8
broadened,8
broadening,8
broader,8
broadest,8
broadly,8
brochure,1
brochures,1
broker,1
brokerage,3
brokerages,3
brokers,1
broking,3
bronchogenic,6
bronchopulmonary,6
brothels,5
brownout,0
brownouts,0
browse,7
browser,7
browsers,7
browsing,7
brule,6
btl,6
bucco,6
budget,3
budgetary,8
budgeted,0
budgeteer,6
budgeters,1
budgeting,8
budgets,3
buffer,0
buffers,0
buggier,6
buggiest,6
bugginess,7
buy,1
buyable,6
buyback,3
buybacks,3
buyer,1
buyers,1
buying,1
build,8
buildable,0
builder,0
builders,1
building,0
buildings,0
buyout,3
buyouts,3
bulk,6
bulker,0
bulkheading,0
bulleted,7
bulletin,6
bulleting,6
bulletins,1
bulletproofing,6
bullion,3
bullions,3
bult,6
bundh,2
bundy,6
bundle,6
bundler,1
bundlers,1
bundling,7
bunglings,2
bunya,6
bunkering,0
bunkie,6
burden,8
burdens,8
burdensome,8
burdon,6
bureau,5
bureaus,1
bureaux,1
burgeons,6
burgess,0
burgesses,0
burglary,5
burglaries,5
burglarised,5
burglars,5
burial,5
burnover,5
burnup,6
burroughs,6
bursar,9
bursary,9
bursaries,9
bursars,9
bus,0
buses,0
busies,6
business,1
businesses,1
businessman,1
businessmen,1
businesswoman,1
businesswomen,1
busing,9
busses,0
bussing,0
bustee,2
busway,0
butanes,6
butylene,6
cabined,6
cabinet,2
cable,1
cablecast,1
cablegram,6
cableless,7
cabler,1
cabotage,2
cache,7
cached,7
caches,7
caching,7
cadastral,7
cadastre,2
cadavers,9
cadet,9
cadets,9
cadetship,9
cafes,1
cafeteria,9
caging,6
cahoot,1
caid,6
caisse,6
cakemaker,6
calaboose,6
calander,6
calcic,6
calcine,6
calciner,6
calculable,4
calculate,7
calculated,6
calculating,8
calculation,7
calculations,7
calculator,7
calculators,7
calendar,1
calendared,4
calendaring,7
calendars,1
calender,1
calibrate,7
calibrated,7
calibrating,7
californian,6
call,6
callable,3
callback,7
callbacks,7
caller,5
callers,1
calligraphist,6
callisthenic,6
callout,7
calls,6
calmative,6
calomel,6
camaron,6
cambial,6
cameleers,6
cameral,6
camogie,9
camorra,6
campaigners,6
campaigns,1
campership,9
camporee,9
camps,9
campus,9
campuses,9
can,6
canali,6
canalisation,2
canalised,6
canalising,6
canalization,0
canalized,6
cancel,8
cancelable,4
cancelation,8
cancellable,3
cancellation,4
cancellations,1
canceller,6
candidate,9
candidated,6
candidates,9
candidatures,2
candlelighting,9
caners,6
cannel,6
cannibalization,3
cannoneers,6
canonicalization,7
canonist,6
canteens,2
canton,2
cantonal,2
cantoned,2
cantonment,2
cantonments,2
cantons,2
canvased,6
canvasing,1
canvass,1
canvasser,1
canvassers,1
canvassing,1
cap,6
capability,7
capabilities,7
capacitate,2
capacitated,2
capacitating,2
capacitation,6
capacity,0
capacities,8
capias,4
capiases,5
capital,3
capitalizable,6
capitalization,3
capitalizations,3
capitally,6
capitals,1
capitated,9
capitation,2
capitol,5
caprine,6
caps,6
capstone,9
capsulitis,6
